lemma	category	tones	persona
obviously	adverb	cheerful|curious|grumpy	
officially	adverb	cheerful|curious|grumpy	
only	adverb	cheerful|curious|grumpy	
outdoors	adverb	cheerful|curious|grumpy	
patiently	adverb	cheerful|curious|grumpy	
perhaps	adverb	cheerful|curious|grumpy	
politely	adverb	cheerful|curious|grumpy	
poorly	adverb	cheerful|curious|grumpy	
positively	adverb	cheerful|curious|grumpy	
possibly	adverb	cheerful|curious|grumpy	
powerfully	adverb	cheerful|curious|grumpy	
privately	adverb	cheerful|curious|grumpy	
probably	adverb	cheerful|curious|grumpy	
promptly	adverb	cheerful|curious|grumpy	
properly	adverb	cheerful|curious|grumpy	
quite	adverb	cheerful|curious|grumpy	
rapidly	adverb	cheerful|curious|grumpy	
rarely	adverb	cheerful|curious|grumpy	
rather	adverb	cheerful|curious|grumpy	
readily	adverb	cheerful|curious|grumpy	
regularly	adverb	cheerful|curious|grumpy	
safely	adverb	cheerful|curious|grumpy	
scarcely	adverb	cheerful|curious|grumpy	
seldom	adverb	cheerful|curious|grumpy	
seriously	adverb	cheerful|curious|grumpy	
sharply	adverb	cheerful|curious|grumpy	
shortly	adverb	cheerful|curious|grumpy	
sideways	adverb	cheerful|curious|grumpy	
silently	adverb	cheerful|curious|grumpy	
simply	adverb	cheerful|curious|grumpy	
smoothly	adverb	cheerful|curious|grumpy	
softly	adverb	cheerful|curious|grumpy	
solely	adverb	cheerful|curious|grumpy	
sometimes	adverb	cheerful|curious|grumpy	
somewhere	adverb	cheerful|curious|grumpy	
soon	adverb	cheerful|curious|grumpy	
southward	adverb	cheerful|curious|grumpy	
specially	adverb	cheerful|curious|grumpy	
steadily	adverb	cheerful|curious|grumpy	
still	adverb	cheerful|curious|grumpy	
strangely	adverb	cheerful|curious|grumpy	
strongly	adverb	cheerful|curious|grumpy	
suddenly	adverb	cheerful|curious|grumpy	
surely	adverb	cheerful|curious|grumpy	
sweetly	adverb	cheerful|curious|grumpy	
swiftly	adverb	cheerful|curious|grumpy	
tenderly	adverb	cheerful|curious|grumpy	
then	adverb	cheerful|curious|grumpy	
there	adverb	cheerful|curious|grumpy	
thoroughly	adverb	cheerful|curious|grumpy	
tightly	adverb	cheerful|curious|grumpy	
today	adverb	cheerful|curious|grumpy	
tomorrow	adverb	cheerful|curious|grumpy	
tonight	adverb	cheerful|curious|grumpy	
totally	adverb	cheerful|curious|grumpy	
truly	adverb	cheerful|curious|grumpy	
typically	adverb	cheerful|curious|grumpy	
uniformly	adverb	cheerful|curious|grumpy	
upstairs	adverb	cheerful|curious|grumpy	
usually	adverb	cheerful|curious|grumpy	
utterly	adverb	cheerful|curious|grumpy	
very	adverb	cheerful|curious|grumpy	
warmly	adverb	cheerful|curious|grumpy	
westward	adverb	cheerful|curious|grumpy	
willingly	adverb	cheerful|curious|grumpy	
wisely	adverb	cheerful|curious|grumpy	
wrongly	adverb	cheerful|curious|grumpy	
yesterday	adverb	cheerful|curious|grumpy	
yet	adverb	cheerful|curious|grumpy	
